id,name,description,parent_id
1,Anwaltshaftung,,0
2,Architektenrecht,,0
3,Asylrecht,,0
4,Baurecht,,0
5,Bankrecht,,0
6,Beamtenrecht,,0
7,Behindertenrecht,,0
8,Betäubungsmittelstrafrecht,,0
9,Bußgeld,,0
10,Compliance,,0
11,Diesel,,0
12,Erbrecht,,0
13,Fluggastrecht,,0
14,Gesellschaftsrecht,,0
15,IT-Recht,,0
16,Inkassorecht,,0
17,Insolvenzrecht,,0
18,Markenrecht,,0
19,Medizinrecht,,0
20,Mietrecht,,0
21,Migrationsrecht,,0
22,Nachbarrecht,,0
23,Patentrecht,,0
24,Pflegerecht,,0
25,Reiserecht,,0
26,Schadensersatzrecht,,0
27,Scheidungsrecht,,0
28,Schmerzensgeldrecht,,0
29,Schulrecht,,0
30,Sozialrecht,,0
31,Steuerrecht,,0
32,Steuerstrafrecht,,0
33,Strafrecht,,0
34,Unternehmenskrise,,0
35,Unternehmensrecht,,0
36,Urheberrecht,,0
37,Versicherungsrecht,,0
38,Vertragsrecht,,0
39,Verwaltungsrecht,,0
40,Wirtschaftsrecht,,0
41,Fristversäumnis,"Sie haben eine gesetzliche Frist verpasst, weil Ihr Anwalt Sie nicht rechtzeitig informiert oder gehandelt hat. Dies könnte zum Verlust Ihrer Rechtsansprüche oder zu anderen rechtlichen Nachteilen führen, weshalb Sie möglicherweise Anspruch auf Schadensersatz haben.",1
42,"Falsche Rechtsberatung","Ihr Anwalt hat Ihnen eine falsche Rechtsberatung gegeben, die zu finanziellen Verlusten oder anderen negativen Konsequenzen geführt hat. In diesem Fall könnten Sie Schadensersatz für die erlittenen Verluste geltend machen, da die Beratung nicht dem erwarteten Fachwissen entsprach.",1
43,Dokumentationsfehler,"Ihr Anwalt hat wichtige Dokumente fehlerhaft erstellt oder eingereicht, was zu rechtlichen Nachteilen für Sie führte. Eine unzureichende Dokumentation kann Ansprüche auf Schadenersatz nach sich ziehen, da dies Ihre rechtliche Position geschwächt hat.",1
